,900 W Harrison St,Aberdeen St & Jackson Blvd,Aberdeen St & Monroe St,Aberdeen St & Randolph St,Adler Planetarium,Albany Ave & 111th St - NW,Ashland Ave & Chicago Ave,Ashland Ave & Garfield Blvd,Ashland Ave & Grace St,Ashland Ave & Grand Ave,Ashland Ave & McDowell Ave,Ashland Ave & Pershing Rd,Ashland Ave & Wellington Ave,Austin Blvd & Chicago Ave,Austin Blvd & Lake St,Broadway & Cornelia Ave,Broadway & Granville Ave,Broadway & Thorndale Ave,Burling St & Diversey Pkwy,Burnham Greenway & 105th St,Burnham Greenway & 112th St,Burnham Harbor,California & 16th St,California Ave & 21st St,California Ave & 23rd Pl,California Ave & 26th St,California Ave & 29th St,California Ave & 36th St,California Ave & Altgeld St,California Ave & Byron St,California Ave & Division St,California Ave & Lake St,Calumet Ave & 33rd St,Campbell Ave & Irving Park Rd,Campbell Ave & North Ave,Canal St & Monroe St,Cannon Dr & Fullerton Ave,Central Ave & Roscoe St,Central Park & Augusta Blvd,Central Park Ave & Bloomingdale Ave,Central Park Ave & Douglas Blvd,Central Park Ave & Elbridge Ave,Central Park Ave & North Ave,Central Park Ave & Ogden Ave,Central Park Blvd & 5th Ave,Clark St & Drummond Pl,Clark St & Wrightwood Ave,Clinton St & Jackson Blvd,Clinton St & Lake St,Clinton St & Madison St,Clinton St & Polk St,Clinton St & Roosevelt Rd,Clinton St & Tilden St,Clinton St & Washington Blvd,Clybourn Ave & Division St,Colfax Ave & 83rd St,Columbus Dr & Randolph St,Commercial Ave & 130th St,Commercial Ave & 83rd St,Constance Ave & 95th St,Cornell Ave & Hyde Park Blvd,Cornell Dr & Hayes Dr,Cottage Grove & 86th St,Cottage Grove Ave & 111th Pl,Cottage Grove Ave & 111th St,Cottage Grove Ave & 43rd St,Cottage Grove Ave & 47th St,Cottage Grove Ave & 67th St,Cottage Grove Ave & 71st St,Cottage Grove Ave & 78th St,Cottage Grove Ave & 83rd St,Cottage Grove Ave & 98th St,Cottage Grove Ave & Oakwood Blvd,Daley Center Plaza,Damen Ave & 47th St,Damen Ave & 59th St,Damen Ave & 74th St,Damen Ave & Clybourn Ave,Damen Ave & Grand Ave,Dearborn St & Van Buren St,Dodge Ave & Main St,Dodge Ave & Mulford St,Dorchester Ave & 63rd St,Drake Ave & Montrose Ave,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Monroe St,Dusable Harbor,Eastlake Ter & Rogers Ave,Eberhart Ave & 91st St,Eggleston Ave & 92nd St,Elizabeth (May) St & Fulton St,Elizabeth St & 47th St,Elizabeth St & 59th St,Elizabeth St & 92nd St,Ellis Ave & 53rd St,Ellis Ave & 55th St,Ellis Ave & 58th St,Ellis Ave & 60th St,Ellis Ave & 83rd St,Evans Ave & 75th St,Evanston Civic Center,Ewing Ave & 105th St,Ewing Ave & 106th St,Ewing Ave & 99th St,Exchange Ave & 79th St,Field Blvd & South Water St,Fort Dearborn Dr & 31st St,Francisco Ave & Hollywood Ave,Francisco Ave & Montrose Ave,Franklin St & Adams St (Temp),Franklin St & Chicago Ave,Franklin St & Lake St,Green St & 103rd St,Greenwood Ave & 97th St,Hale Ave & 107th St,Halsted St & 104th St,Halsted St & 111th St,Halsted St & 18th St,Halsted St & 21st St,Halsted St & 37th St,Halsted St & 69th St,Halsted St & 73rd St,Halsted St & 78th St,Halsted St & 96th St,Halsted St & Archer Ave,Halsted St & Clybourn Ave,Halsted St & Roscoe St,Halsted St & Willow St,Halsted St & Wrightwood Ave,Hamilton Ave & 95th St,Hamlin Ave & 62nd Pl,Humboldt Blvd & Armitage Ave,Hyde Park Blvd & 53rd St,Hyde Park Blvd & 55th St,Indiana Ave & 133rd St,Indiana Ave & 26th St,Indiana Ave & 31st St,Indiana Ave & 40th St,Indiana Ave & Roosevelt Rd,Kedzie Ave & 52nd St,Kedzie Ave & Lake St,Kenneth Ave & 50th St,Kilbourn Ave & Irving Park Rd,Kilbourn Ave & Milwaukee Ave,Lafayette Ave & 95th St,Leamington Ave & Hirsch St,Leavitt St & Armitage Ave,Leavitt St & Belmont Ave,Lincoln Ave & Waveland Ave,Lincoln Ave & Winona St,Lincoln Park Conservatory,Lincolnwood Dr & Central St,Lockwood Ave & Wrightwood Ave,Loomis Blvd & 84th St,Loomis St & 89th St,Loomis St & Archer Ave,Loomis St & Jackson Blvd,Loomis St & Lexington St,Malcolm X College Vaccination Site,Manor Ave & Leland Ave,Maplewood Ave & 59th St,Maplewood Ave & Peterson Ave,Marine Dr & Ainslie St,Marquette Ave & 79th St,Marquette Ave & 89th St,Meade Ave & Diversey Ave,Menard Ave & Division St,Michigan Ave & 113th St,Michigan Ave & 71st St,Michigan Ave & 8th St,Michigan Ave & Jackson Blvd,Michigan Ave & Lake St,Michigan Ave & Oak St,Michigan Ave & Pearson St,Michigan Ave & Washington St,Mies van der Rohe Way & Chicago Ave,Milwaukee Ave & Grand Ave,Morgan St & 18th St,Morgan St & 31st St,Morgan St & Pershing Rd,Narragansett & McLean,Normal Ave & Archer Ave,Oak Park & Wellington,Oakley Ave & Irving Park Rd,Ogden Ave & Chicago Ave,Panama Ave & Grace St,Parkside Ave & Armitage Ave,Paulina St & 18th St,Paulina St & Flournoy St,Paulina St & Howard St,Paulina St & Montrose Ave,Peoria St & Jackson Blvd,Perry Ave & 108th Pl,Perry Ave & 69th St,Phillips Ave & 79th St,Pine Grove Ave & Irving Park Rd,Pine Grove Ave & Waveland Ave,Plainfield & Irving Park,Princeton Ave & Garfield Blvd,Pulaski & 52nd,Pulaski Rd & 21st St,Pulaski Rd & Eddy St (Temp),Racine Ave & 109th Pl,Racine Ave & 18th St,Racine Ave & 35th St,Racine Ave & 65th St,Racine Ave & Fullerton Ave,Ritchie Ct & Banks St,Rockwell St & 63rd St,Rush St & Superior St,S Aberdeen St & W 106th St,Sangamon St & Washington Blvd,Sawyer Ave & Irving Park Rd,Sayre & Diversey,Sedgwick St & Schiller St,Sedgwick St & Webster Ave,Seeley Ave & Garfield Blvd,Sheffield Ave & Fullerton Ave,Sheffield Ave & Willow St,Sheffield Ave & Wrightwood Ave,Spaulding Ave & 16th St,Springfield Ave & 63rd St,St Louis Ave & 59th St,St Louis Ave & Norman Bobbins Ave,St. Louis Ave & Balmoral Ave,St. Louis Ave & Fullerton Ave,State St & 123rd St,State St & 33rd St,State St & 35th St,State St & Kinzie St,Stockton Dr & Wrightwood Ave,Stony Is Ave & 73rd St,Stony Island Ave & 64th St,Talman Ave & Addison St,Torrence Ave & 126th Pl,Tripp Ave & 15th St,Tripp Ave & 31st St,Tripp Ave & 65th St,Troy St & Elston Ave,Troy St & Jackson Blvd,Troy St & North Ave,Union Ave & Root St,University Ave & 57th St,University Library (NU),Valli Produce - Evanston Plaza,Vernon Ave & 107th St,Vernon Ave & 75th St,Vernon Ave & 79th St,Virginia Ave & Catalpa Ave,W 103rd St & S Avers Ave,W Oakdale Ave & N Broadway,W Washington Blvd & N Peoria St,Wabash Ave & 9th St,Walden Pkwy & 100th St,Wallace St & 35th St,Waller Ave & Chicago Ave,Walsh Park,Warren Park East,Warren Park West,Washtenaw Ave & Lawrence Ave,Wentworth Ave & 104th St,Western & 28th - Velasquez Institute Vaccination Site,Western Ave & 21st St,Western Ave & 24th St,Western Ave & 62nd St,Western Ave & 79th St,Western Ave & Ardmore Ave,Western Ave & Congress Pkwy,Western Ave & Division St,Western Ave & Grace St,Western Ave & Lake St,Whipple/Irving Park,Wolcott (Ravenswood) Ave & Montrose Ave,Wood St & 103rd St,Yates Blvd & 75th St
Clark St & Wrightwood Ave,1,0,0,3,0,0,5,0,13,3,0,0,6,0,0,63,3,3,26,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,16,0,0,0,0,1,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Jackson Blvd,29,21,20,6,6,0,3,0,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,2,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Lake St,2,5,16,35,2,0,4,0,0,19,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,17,0,0,0,0,0,0,1,0,0,0,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Madison St,36,37,31,54,4,0,7,0,1,34,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,8,3,0,0,0,0,0,0,0,0,3,3,69,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Polk St,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Roosevelt Rd,10,8,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19,17,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Tilden St,5,1,12,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,19,5,32,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton St & Washington Blvd,13,12,15,77,5,0,11,0,0,26,0,0,1,0,0,5,0,1,7,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,1,8,1,0,0,1,0,0,0,0,0,3,7,50,80,74,10,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clybourn Ave & Division St,1,1,1,0,0,0,2,0,1,0,0,0,4,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,6,3,2,3,1,1,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax Ave & 83rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Dr & Randolph St,0,2,4,14,34,0,1,0,4,0,0,0,0,0,0,2,2,0,1,0,0,34,0,0,0,0,0,0,0,0,2,0,0,0,1,35,1,0,0,0,0,0,0,1,0,2,5,6,24,31,1,6,6,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial Ave & 130th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial Ave & 83rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constance Ave & 95th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell Ave & Hyde Park Blvd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell Dr & Hayes Dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottage Grove & 86th St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottage Grove Ave & 111th Pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
